client_name,campaign_id,campaign_type,industry,clicks,displays,spend,sales,order_value_euro,visits,start_day,end_day,CTR,CR,landing_rate,AOV,CPC,CPV,CPO,ROI
Client-4415,JJJP1A,Image Campaign,Robotics,13233.0,2122548.0,4580.0,30.0,1996.0,5236.0,2022-04-03,2022-08-22,0.0062343944912428,0.0022482014388489,0.39568345323741,67.09685714285713,0.3460778049931872,0.8746329980736912,153.93540766096964,0.4358766976512159
Client-4416,J49541,Image Campaign,Transportation,99389.0,18191263.0,26938.0,847.0,620357.0,48990.0,2022-08-28,2024-01-05,0.0054635458491059,0.0085180623973727,0.4929101669403393,732.7630522088353,0.2710400272361326,0.5498771285619244,31.8194460890226,23.028780895769003
Client-2068,29AAS5,Image Campaign,Transportation,45910.0,3963445.0,13650.0,629.0,247946.0,38158.0,2023-06-23,2024-01-05,0.011583409037684,0.0137006591127897,0.8311486336369696,394.1907702702703,0.2973260442861822,0.357729089904332,21.7015868972774,18.164144960280485
Client-2071,J5A2A6,Video Campaign,Robotics,26.0,13113.0,1.0,0.0,0.0,16.0,2022-06-28,2022-07-02,0.0019446425098852,0.0,0.6333333333333333,,0.030976320792362,0.0489099801984664,,0.0
Client-1609,J1AP5J,Video Campaign,Robotics,446.0,97662.0,35.0,0.0,0.0,212.0,2022-01-06,2022-01-13,0.0045693099036528,0.0,0.4742857142857143,,0.0793287422044699,0.1672593962142438,,0.0
Client-689,6S462,Image Campaign,Robotics,96084.0,12710942.0,54972.0,2385.0,787127.0,79110.0,2023-06-17,2023-09-21,0.0075591562152059,0.0248230714791224,0.8233457183297948,330.0183107626515,0.5721267939076948,0.694880390060554,23.04818702185525,14.318623432277532
Client-373,211959,Video Campaign,Robotics,1222889.0,195268004.0,17052.0,66.0,3817.0,437500.0,2022-01-14,2022-08-31,0.0062626186972146,5.421587510330557e-05,0.357759438601564,57.56827295058876,0.0139439355359697,0.0389757307046176,257.1928518980888,0.2238330984929544
Client-5,4AS14P,Video Campaign,Robotics,83780.0,6512153.0,5311.0,15.0,784.0,21576.0,2023-06-04,2024-01-05,0.0128652160270322,0.0001826206056916,0.2575356363820829,51.23525426671209,0.063388634714601,0.2461353916106465,347.10559892470286,0.1476071098404451
Client-695,J2J25A,Video Campaign,Robotics,177477.0,29339356.0,8737.0,3174.0,217055.0,87268.0,2022-01-11,2022-06-10,0.0060491255150739,0.0178833987078358,0.4917120456711543,68.38741591137698,0.0492309195059763,0.1001214429042091,2.752883851121944,24.84209999760997
Client-2951,P5522,Image Campaign,Robotics,52655.0,10140520.0,13919.0,915.0,82121.0,31175.0,2022-01-23,2022-05-02,0.0051925298048461,0.0173858298222674,0.5920706410318498,89.70532033426184,0.26433825511212,0.4464640480254792,15.204235737632777,5.900021670423568
Client-3149,J1S549,Video Campaign,Robotics,1622.0,874032.0,286.0,3.0,368.0,962.0,2022-01-06,2022-01-13,0.0018555383638391,0.0020964360587002,0.5932914046121593,108.175,0.1761761389583955,0.2969470610712179,84.03601828315468,1.2872456621577473
Client-2354,4156P5,Video Campaign,Robotics,405.0,332998.0,58.0,3.0,232.0,172.0,2023-07-09,2023-07-19,0.0012175759772514,0.0062893081761006,0.4234800838574423,90.79113666666666,0.1424044972708569,0.336272005931677,22.642315066066256,4.009799192430378
Client-1548,J1A1J9,Video Campaign,Robotics,626911.0,225327362.0,22519.0,179.0,26814.0,189707.0,2022-01-14,2024-01-05,0.0027822218070356,0.000286085402594,0.3026064956300793,149.50781990521338,0.0359208005488906,0.1187046579224855,125.55971127217978,1.1907308354757244
Client-3450,J21S52,Video Campaign,Robotics,52441.0,17117938.0,5826.0,0.0,0.0,31810.0,2022-01-23,2022-02-10,0.0030634968375148,0.0,0.6065807601912635,,0.1111036552568289,0.1831638300261888,,0.0
Client-456,J9P59S,Video Campaign,Robotics,3785536.0,48944962.0,271188.0,76.0,11518.0,920762.0,2023-04-08,2024-01-05,0.0773427143628907,1.9983958943517697e-05,0.2432317250063544,152.24843342879757,0.0716379983580453,0.2945257176306826,3584.7750968925493,0.0424708466538873
Client-2776,JAS256,Image Campaign,Robotics,870.0,268586.0,445.0,8.0,755.0,155.0,2022-01-23,2022-08-20,0.0032375056964909,0.0087976539589442,0.1779081133919843,98.6911111111111,0.5122036827191553,2.879034985833494,58.22048526907732,1.695126906878067
Client-1861,J2P1SA,Video Campaign,Robotics,3410.0,2422847.0,2055.0,31.0,314.0,1213.0,2022-02-07,2022-04-13,0.0014075178009604,0.009222333000997,0.3556829511465603,10.0,0.6024955972531301,1.6939119384579944,65.33006313998806,0.1530688861967297
